股票代码,股息率_L12M_派息日,股本回报率_Y,收入增长_L4Q,流动比率_L4Q,对数流通市值,换手率_30D,动量_9M_调整,盈利收益_L4Q,波动率_250D
000001,0.01025,0.1099,0.16465,--,0.97911,0.00813,0.12537,0.11605 ,0.021077
000002,0,0.21783,0.18348,1.13434,3.4014,0.01004,0.09627,0.18907 ,0.019996
000063,0,-0.17741,0.01547,1.07254,3.3641,0.05006,0.39553,0.02682 ,0.032636
000069,0.05026,0.15836,0.24153,1.63037,1.75213,0.01486,-0.05226,0.26010 ,0.019639
000100,0.01981,0.07069,-0.49398,1.03699,2.11797,0.04513,0.85667,0.06928 ,0.03001
000157,0,0.05082,0.50326,1.61269,3.00685,0.00857,0.11217,0.09383 ,0.022787
000166,0.00991,0.06627,0.80399,--,1.28137,0.00394,-0.082,0.04991 ,0.018037
000333,0.02499,0.2469,0.05925,1.47834,3.24329,0.00538,0.02607,0.07273 ,0.019321
000338,0.02222,0.19603,-0.00203,1.20942,2.56422,0.01323,0.18368,0.12912 ,0.027224
000413,0.02141,0.0693,-0.33301,1.6733,0.95316,0.02319,-0.33107,0.11202 ,0.035097
000415,0,0.05888,-0.22754,0.9442,-0.37765,0.00404,-0.16129,0.17884 ,0.0211
000423,0,0.19685,-0.32795,4.80624,1.02073,0.01104,-0.16396,0.06308 ,0.019622
000425,0.01161,0.07558,0.19254,1.64849,3.01603,0.01301,0.1172,0.08834 ,0.023586
000538,0.02126,0.17285,0.14796,3.31374,1.93349,0.01226,0.03091,0.04190 ,0.019277
000568,0,0.21645,0.21857,2.77671,1.92394,0.01001,0.04643,0.04484 ,0.026382
000596,0.01417,0.23414,0.11913,2.21767,1.29808,0.01162,0.10607,0.04189 ,0.027687
000625,0.00173,0.01545,0.07255,1.03546,2.31282,0.00713,0.58141,-0.06217 ,0.031524
000627,0,0.09019,1.30241,3.30591,0.27126,0.00359,-0.05006,0.08305 ,0.021477
000629,0,0.51724,-0.19854,1.86838,0.43684,0.00551,-0.25568,0.12827 ,0.020123
000630,0.015,0.0515,0.11022,1.07419,1.28303,0.00594,-0.144,0.04725 ,0.016506
000651,0,0.33067,0.00499,1.24896,3.17904,0.0106,0.16774,0.08818 ,0.023929
000656,0.04938,0.13372,0.50692,1.56304,1.66585,0.00868,0.21951,0.16120 ,0.024051
000661,0.00145,0.25382,0.47588,2.19243,2.42628,0.01527,0.45376,0.02142 ,0.024254
000671,0.00828,0.10912,-0.11341,1.55456,1.3398,0.00664,0.15015,0.17472 ,0.027483
000703,0.02521,0.11771,-0.02719,0.66389,2.26942,0.00469,0.01836,0.06974 ,0.022432
000709,0.04608,0.08219,-0.07354,0.50019,0.91589,0.0034,-0.22866,0.10862 ,0.013832
000723,0,0.25076,-0.1967,0.79408,1.20703,0.01038,-0.26407,0.05718 ,0.044042
000725,0.00714,0.02564,0.18054,1.46486,2.79915,0.02595,0.43763,0.00165 ,0.026326
000728,0.01708,0.0268,0.28037,--,0.26896,0.00726,0.04558,0.03528 ,0.024494
000768,0.00576,0.02748,-0.30054,1.33372,1.88498,0.00878,0.04051,0.01412 ,0.021425
000776,0,0.05226,0.44808,--,1.1167,0.00432,0.09863,0.06059 ,0.020156
000783,0.00303,0.00847,0.20773,--,0.5235,0.0104,-0.12415,0.02905 ,0.024565
000786,0.01798,0.1842,0.07213,1.81208,2.165,0.00978,0.37738,0.00986 ,0.023879
000858,0.01567,0.23438,0.27097,3.85298,2.9028,0.01112,0.09508,0.04084 ,0.025833
000876,0.00104,0.10162,0.1279,0.68295,2.88023,0.01289,0.19656,0.03648 ,0.035357
000895,0.01571,0.34455,0.28128,1.31261,1.10464,0.01992,0.447,0.04678 ,0.022813
000898,0.06199,0.15463,-0.01492,0.83034,0.85818,0.0018,-0.25285,0.10979 ,0.015428
000938,0.0028,0.0988,0.25808,1.71113,2.72807,0.01653,0.55291,0.03742 ,0.030258
000961,0.01623,0.1278,0.20131,1.23708,1.35652,0.00988,0.10684,0.11288 ,0.028959
000963,0.01655,0.24905,0.19033,1.62562,1.51537,0.00987,-0.17255,0.09591 ,0.023754
001979,0.04553,0.19302,-0.3077,1.50865,2.82389,0.00282,-0.1114,0.11609 ,0.017366
002001,0.02568,0.20512,-0.08225,1.87346,2.14424,0.02415,0.37633,0.03852 ,0.024535
002007,0.00617,0.2279,0.48047,7.83334,2.04849,0.02033,0.35885,0.02412 ,0.023675
002008,0.00671,0.21727,-0.37744,1.65737,1.46524,0.02159,0.14437,0.02083 ,0.02936
002010,0.016,0.0692,-0.12117,1.30072,0.99578,0.00469,-0.13265,0.06448 ,0.025898
002024,0.01321,0.14715,0.05051,1.24352,3.51867,0.00561,-0.16348,0.22293 ,0.017244
002027,0.02266,0.4642,-0.15332,3.30756,2.71145,0.01079,0.01259,0.03669 ,0.023819
002032,0.01555,0.30053,0.11361,2.15581,1.61465,0.00408,-0.0883,0.03361 ,0.021116
002044,0.00369,0.13703,0.15577,0.85751,1.77584,0.00838,0.26677,0.02067 ,0.02402
002050,0.01097,0.15775,0.04294,1.96458,1.65452,0.01833,0.96978,0.02756 ,0.026705
002081,0.02408,0.17129,0.17161,1.53688,1.6632,0.0046,-0.16421,0.10453 ,0.021749
002120,0.01338,0.30988,1.60036,1.51778,1.96668,0.0022,0.06244,0.04235 ,0.022335
002142,0.01655,0.1889,0.21478,--,0.63269,0.00719,0.10643,0.10046 ,0.019638
002146,0.05968,0.25181,0.29661,1.34056,1.42151,0.00937,-0.06078,0.27182 ,0.020807
002153,0.00312,0.07593,0.25271,4.61309,1.12643,0.01035,0.1166,0.01671 ,0.028555
002179,0.00276,0.16827,0.04806,1.97371,1.61596,0.01194,0.16682,0.03148 ,0.01977
